Column1,EPISODE_ID,EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,END_DATE_TIME,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
33708,161192,973263,WISCONSIN,2021,August,Flash Flood,8/28/21 0:00,61.50K,0.00K,Law Enforcement,Heavy Rain,NW,BAKERVILLE,3,LINDSEY,44.6827,-90.3035,44.5904,-90.3064,Thunderstorms developed north of a warm front then tracked east during the late afternoon hours and into the evening.  There was an isolated report of wind damage and several rounds of thunderstorms produced flash flooding during the overnight hours across portions of central Wisconsin as 3 to 5 inches of rain fell.,Thunderstorms dumped 3 to 5 inches of rain over northern Wood County during the evening hours. This caused several roads to be closed due to flash flooding with several reports of cars stalled out.,CSV
33761,160198,968130,ILLINOIS,2021,July,Flash Flood,7/16/21 17:30,3.00K,0.00K,Broadcast Media,Heavy Rain,S,MC LEANSBORO,0,DIAMOND CITY,38.0711,-88.53,38.0779,-88.5532,"A series of slow-moving lines and clusters of thunderstorms moved east-southeast across southern Illinois from the midday hours through the early evening hours. The storms produced flooding rains and isolated strong wind gusts. The storms intensified during peak afternoon heating within a region of unstable southwest flow ahead of a mid-level disturbance. The disturbance rotated eastward near St. Louis, Missouri just ahead of a cold front. The soil across southern Illinois was saturated from an early morning round of thunderstorms. Runoff from the afternoon storms caused very large rises on area creeks, mainly north of a line from Carbondale to Harrisburg. One fatality was associated with record flooding of Rayse Creek near Mount Vernon.",Law enforcement rescued a woman whose suv was stranded in high water on Highway 14.,CSV
33816,161356,974421,MISSISSIPPI,2021,July,Flash Flood,7/6/21 4:51,30.00K,0.00K,Public,Heavy Rain,W,NORTH BILOXI ARPT,1,NORTH BILOXI ARPT,30.45,-88.88,30.4461,-88.8798,"A long duration flash flooding event occurred due a stalled frontal boundary in place helping to supply environmental lift along with ample Gulf moisture to produce slow-moving clusters of showers and thunderstorms. This event was not consistent, but came in waves beginning early July 6th lasting through early July 7th.",Water reported entering buildings in the general area.,CSV
33818,161356,974424,MISSISSIPPI,2021,July,Flash Flood,7/6/21 5:40,3.00K,0.00K,Public,Heavy Rain,ENE,ORANGE GROVE,2,ORANGE GROVE,30.44,-89.06,30.4421,-89.05,"A long duration flash flooding event occurred due a stalled frontal boundary in place helping to supply environmental lift along with ample Gulf moisture to produce slow-moving clusters of showers and thunderstorms. This event was not consistent, but came in waves beginning early July 6th lasting through early July 7th.",Flooding has reached inside the garage at a house in the area and is encroaching on other homes in the neighborhood.,CSV
33830,161672,976142,SOUTH CAROLINA,2021,July,Flash Flood,7/24/21 23:00,1.00K,0.00K,911 Call Center,Heavy Rain,N,FINGERVILLE,2,CHESNEE,35.186,-82,35.182,-81.885,"A cluster of slow-moving thunderstorms developed over the North Carolina foothills and moved into northern Spartanburg County during the evening. Four to seven inches of rain fell over the extreme northeast part of the county in just a couple of hours, resulting in flash flooding.",County comms reported multiple roads were inundated from a combination of poor drainage and small stream flooding after 4 to 7 inches of rain fell over extreme northeast Spartanburg County in just a couple of hours.,CSV
33952,163555,994927,NEW YORK,2021,September,Flash Flood,9/1/21 22:30,60.00M,0.00K,Emergency Manager,Heavy Rain,N,CENTRAL PARK,2,NEW YORK,40.875,-73.9269,40.7576,-74.0016,"Extremely heavy rainfall associated with the remnants of Hurricane Ida overspread southeast New York during the evening of September 1 and continued through the early morning hours of September 2. Rainfall totals ranged from 5-8 inches across much of the region, with much of that rain falling in just a few hours. The ASOS at Central Park recorded 7.19 inches of rain, including 3.15 inches in a single hour between approximately 9:00-10:00pm. This resulted in widespread catastrophic flash flooding across New York City that resulted in extensive road and subway closures and numerous water rescues. Additional rainfall totals from around the region include 7.38 inches at a New York Mesonet station in Fordham in the Bronx, a report of 7.00 inches from a CoCoRaHS observer in Boerum Hill, Brooklyn, 6.90 inches from the ASOS at LaGuardia Airport, a spotter report of 6.18 inches in Monroe, a spotter report of 8.09 inches in Scarsdale, and a CoCoRaHS report of 6.72 inches in Locust Valley. Ultimately 17 people died as a result of the flash flooding, including 13 in New York City and 4 in the Lower Hudson Valley.","Flash flooding resulted in an estimated $60 million in damages across Manhattan, and an estimated $300 million city-wide. This estimate only includes FEMA and SBA fund requests.",CSV
33984,158790,962107,MISSISSIPPI,2021,July,Flash Flood,7/16/21 17:30,265.00K,0.00K,Broadcast Media,Heavy Rain,NNW,DIXON,1,VAN WINKLE,32.3639,-90.271,32.308,-90.27,Afternoon showers and thunderstorms persisted across the region in a typical summer time weather pattern. Abundant moisture lead to locally heavy rain and some storms were strong with gusty winds being the primary hazard.,"Slow moving thunderstorms resulted in very heavy rainfall across the city of Jackson. This resulted in numerous instances of flash flooding across the area. Dozens of streets were flooded, including some that had at least 1-2 feet of water over the roadway. In addition, several cars were stalled and inundated in flood waters. Water also entered units of at least one apartment complex as well as several buildings on the University of Mississippi Medical Center campus.",CSV
33985,158790,962109,MISSISSIPPI,2021,July,Flash Flood,7/16/21 17:30,10.00K,0.00K,NWS Employee,Heavy Rain,SSE,ROCKY HILL,2,MADISON CAMPBELL ARP,32.4015,-90.2095,32.4025,-90.0889,Afternoon showers and thunderstorms persisted across the region in a typical summer time weather pattern. Abundant moisture lead to locally heavy rain and some storms were strong with gusty winds being the primary hazard.,"Heavy rainfall from slow moving thunderstorms resulted in a few instances of flash flooding across far southern Madison County. Several roads were flooded, including Rice Road at Old Canton Road.",CSV
33998,158754,959930,WISCONSIN,2021,July,Flash Flood,7/15/21 6:00,28.00K,0.00K,911 Call Center,Heavy Rain,SW,TWO RIVERS,2,MANITOWOC,44.1288,-87.6104,44.0522,-87.6496,"Several rounds of thunderstorms developed across northeast Wisconsin during the afternoon and evening hours.  The strongest storms produced hail up to ping pong size, damaging wind gusts, along with heavy rain and flash flooding.  Portions of east-central Wisconsin received 2 to 5 inches of rain through the overnight hours. Lightning struck a hour in Kiel, causing a fire, as well as a pole in Green Bay, which damaged 2 garages.",Several rounds of thunderstorms dumped rainfall amounts of 3 to 5 inches during the afternoon and evening hours of July 14. Numerous reports of flooded and impassable roads were reported in Manitowoc and surrounding areas.,CSV
34017,159419,965492,KENTUCKY,2021,July,Flash Flood,7/11/21 3:30,50.00K,0.00K,Department of Highways,Heavy Rain,ESE,SALEM,3,PINCKNEYVILLE,37.26,-88.23,37.2175,-88.2206,"Clusters of thunderstorms developed during the late afternoon hours, then moved east into western Kentucky in the evening. Some of the largest clusters were associated with sporadic gusty winds in the 40 to 60 mph range. By late evening, storms became widespread, resulting in significant flash flooding which continued through the overnight hours. The storm complex occurred ahead of a mid-level shortwave trough moving southeast into the Missouri Valley, with an associated cold front extending from southwest Kansas into northern and central Missouri. Steep mid-level lapse rates and ample westerly wind shear resulted in isolated severe thunderstorms with damaging winds.","Several roads were closed due to flash flooding, including U.S. Highway 60 on the east edge of Salem between Kentucky 133 and Lola Road. U.S. Highway 60 was also closed near Kentucky 137 between Smithland and Burna. A couple of culverts were washed out on county roads. A narrow corridor of excessive rainfall occurred where storms trained across the same areas for several hours. Radar estimated 6 to 9 inches fell in a narrow corridor of west Kentucky from central Livingston across southern Crittenden County. There were a few confirmed rainfall measurements of 7-plus inches in southern Crittenden County.",CSV
34022,160397,969305,MICHIGAN,2021,July,Flash Flood,7/14/21 17:00,10.00K,0.00K,Social Media,Heavy Rain,NNE,CUNARD,0,CUNARD,45.7432,-87.659,45.726,-87.6681,Thunderstorms training over northern Menominee County caused flash flooding from Cunard to Hermansville on the afternoon of the 14th.  Portions of the Hermanville Golf Course were under water from the storms.,Social media posts and dual-pol radar estimated four to eight inches of rain on the afternoon of the 14th from Cunard to Hermansville.  There were pictures posted of roads flooded near Cunard and the golf course flooded in Hermansville.,CSV
34055,159630,965354,UTAH,2021,July,Flash Flood,7/28/21 19:00,2.50M,0.00K,Public,Heavy Rain,S,MOAB,1,MOAB,38.57,-109.55,38.5696,-109.5505,"Substantial monsoon moisture remained over the area as high pressure drifted east over the Plains. As a result, widespread showers and thunderstorms developed with many storms producing heavy rain. This led to several reports of flash flooding and debris flows across portions of southeast Utah including over the Pack Creek Fire burn scar.",Heavy rain led to flash flooding in downtown Moab.,CSV
34065,158882,962759,TEXAS,2021,May,Flash Flood,5/31/21 21:00,75.00K,0.00K,Amateur Radio,Heavy Rain,NW,(RBD)REDBIRD ARPT DA,1,(RBD)REDBIRD ARPT DA,32.69,-96.88,32.6698,-96.8793,"A weakening line of thunderstorms Memorial Day morning, followed by a second line of storms that evening (which developed along an approaching cold front), led to instances of heavy rain and flooding across the region. One storm also produced minor wind damage.",Amateur radio reported multiple vehicles stranded in flooded roadways near Dallas Executive Airport.,CSV
34066,158882,962746,TEXAS,2021,May,Flash Flood,5/31/21 21:00,50.00K,0.00K,Public,Heavy Rain,NE,BRECKENRIDGE,1,BRECKENRIDGE,32.76,-98.89,32.7634,-98.9063,"A weakening line of thunderstorms Memorial Day morning, followed by a second line of storms that evening (which developed along an approaching cold front), led to instances of heavy rain and flooding across the region. One storm also produced minor wind damage.","A public report indicated flash flooding near Highway 180 in the city of Breckenridge, TX. An emergency manager also reported Gunsolus Creek was out of its banks.",CSV
34071,161356,974426,MISSISSIPPI,2021,July,Flash Flood,7/6/21 21:40,30.00K,0.00K,Broadcast Media,Heavy Rain,E,NUGENT,2,NUGENT,30.47,-89.07,30.4739,-89.0691,"A long duration flash flooding event occurred due a stalled frontal boundary in place helping to supply environmental lift along with ample Gulf moisture to produce slow-moving clusters of showers and thunderstorms. This event was not consistent, but came in waves beginning early July 6th lasting through early July 7th.",Apartments beginning to take on water off of Oneal Road in North Gulfport.,CSV
34072,161356,974427,MISSISSIPPI,2021,July,Flash Flood,7/6/21 22:09,30.00K,0.00K,Broadcast Media,Heavy Rain,N,ORANGE GROVE,1,ORANGE GROVE,30.4403,-89.0823,30.4387,-89.0833,"A long duration flash flooding event occurred due a stalled frontal boundary in place helping to supply environmental lift along with ample Gulf moisture to produce slow-moving clusters of showers and thunderstorms. This event was not consistent, but came in waves beginning early July 6th lasting through early July 7th.",Flooding occurring around the Palms Apartments in Gulfport.,CSV
34080,160974,972236,TEXAS,2021,July,Flash Flood,7/1/21 19:00,10.00K,0.00K,Broadcast Media,Heavy Rain,NE,SMELTERTOWN,3,SMELTERTOWN,31.8251,-106.4807,31.801,-106.4769,The first surge of monsoon moisture still lingered over the Borderland and a weak mid-level trough moved through the El Paso area on July 1st.  Weak mid and upper level winds kept storms motion very slow and a strong thunderstorm developed over central El Paso and dropped up to 2 inches of rain in a short period of time which created flash flooding in and around McKelligon Canyon.,Gateway South near Fred Wilson became impassable with a car stranded in the flood waters.  Ellerthorpe and US 54 was also closed due to flooding. The heavy rain created a  rock slide that caused McKelligon Canyon Road to be blocked with 100 people stranded at an outdoor concert in the area. A video of a home with several inches of water causing damage inside was also obtained via social media in the same general area.,CSV
34156,161820,977064,TEXAS,2021,July,Flash Flood,7/7/21 16:50,10.00K,0.00K,Public,Heavy Rain,ENE,(ALI)ALICE INTL ARPT,1,ALICE,27.7642,-97.9775,27.7403,-98.0667,A slow moving surface to mid level low pressure system developed over the Coastal Bend of south Texas on July 6th. This was the start of a multi-day heavy rain event across the Coastal Bend as the low pressure system remained nearly stationary through the 8th of July. Bands of heavy showers and thunderstorms produced heavy rainfall that caused flash flooding from Alice to Rockport and Refugio on the 7th.,"Social media reports received of water covering Texas Boulevard in Alice.|Jim Wells Sheriff's office reported vehicles hydroplaning due to water covering the roads on Highways 281, 44, and 359 around Alice.",CSV
34175,157173,950129,MISSISSIPPI,2021,February,Flash Flood,2/11/21 12:45,3.00K,0.00K,Emergency Manager,Heavy Rain,ENE,FORTENBERRY,1,FORTENBERRY,31.31,-89.85,31.3031,-89.8455,Flash flooding occured.,A portion of Highway 13 was underwater.,CSV
34214,158790,962110,MISSISSIPPI,2021,July,Flash Flood,7/16/21 17:30,10.00K,0.00K,Law Enforcement,Heavy Rain,NNW,PLAIN,2,FLOWOOD,32.2674,-90.1801,32.2997,-90.1502,Afternoon showers and thunderstorms persisted across the region in a typical summer time weather pattern. Abundant moisture lead to locally heavy rain and some storms were strong with gusty winds being the primary hazard.,"Heavy rainfall from slow moving thunderstorms resulted in a few instances of flash flooding across western Rankin County. Several roads experienced flash flooding, including Highway 80 at the intersection of Highway 49 and Louisa Street.",CSV
34223,159477,964449,WEST VIRGINIA,2021,July,Flash Flood,7/1/21 4:15,3.00K,0.00K,911 Call Center,Heavy Rain,W,GUYANDOTTE,2,HUNTINGTON,38.433,-82.4156,38.4234,-82.4155,"Showers and thunderstorms expanded in coverage during the early morning hours of July 1st as a slow moving cold front moved into the Central Appalachians. These storms produced heavy downpours with flash flooding occurring as a result. A nearby weather station along the Ohio River recorded over 2.6 inches had fallen during the overnight period of June 30th into July 1st. In the city of Huntington, high water issues arose and caused 5th Avenue to be blocked off for a time to traffic. ||As the front begrudgingly pushed southward that afternoon, additional showers and storms developed over West Virginia. This caused an instance of strong winds blowing down a tree onto the roadway in Kanawha County.",The 2500 Block of 5th Avenue in downtown Huntington was barricaded off from traffic for a brief time due to flash flooding.,CSV
34248,159419,968466,KENTUCKY,2021,July,Flash Flood,7/11/21 3:00,30.00K,0.00K,Broadcast Media,Heavy Rain,N,FARMERSVILLE,2,RUFUS,37.2,-87.88,37.228,-87.906,"Clusters of thunderstorms developed during the late afternoon hours, then moved east into western Kentucky in the evening. Some of the largest clusters were associated with sporadic gusty winds in the 40 to 60 mph range. By late evening, storms became widespread, resulting in significant flash flooding which continued through the overnight hours. The storm complex occurred ahead of a mid-level shortwave trough moving southeast into the Missouri Valley, with an associated cold front extending from southwest Kansas into northern and central Missouri. Steep mid-level lapse rates and ample westerly wind shear resulted in isolated severe thunderstorms with damaging winds.","A woman was rescued from flash flooding near Farmersville. Deputy sheriffs responded to a county road just northwest of Farmersville, where a woman was trapped in a vehicle that had been swept off the road and wedged between two trees. The Jeep was almost completely submerged. A law officer attached a tow strap to himself and waded about 40 feet into the water, then broke a window to help the woman out of the vehicle. The deputy attached the tow strap to her, and another deputy helped pull them to safety.",CSV
34249,160175,968027,KENTUCKY,2021,July,Flash Flood,7/18/21 14:00,25.00K,0.00K,Emergency Manager,Heavy Rain,N,PADUCAH,3,CAMMELIA,37.08,-88.63,37.0068,-88.734,"Thunderstorms produced isolated flash flooding. The storms occurred in the vicinity of a 500 mb trough that extended from the eastern Great Lakes southwest across the lower Ohio Valley. The convection itself was induced by a remnant mesoscale vorticity center that moved eastward from Missouri. The storms formed in an increasingly moist and unstable air mass. The wind flow aloft was weak, causing the storm motion to be driven by mesoscale processes. The storms generally propagated east to southeast at a slow rate.",Considerable flooding of streets and creeks was reported. A state road was undermined near Lone Oak. County emergency management personnel utilized all available personnel to block flooded roads.,CSV
34566,158880,961222,TEXAS,2021,May,Flash Flood,5/16/21 17:30,30.00K,0.00K,Emergency Manager,Heavy Rain,NE,ALPHA,2,ALPHA,32.95,-96.77,32.9489,-96.7638,Mid-May thunderstorms associated with an upper low to our west and multiple  disturbances out ahead of it produced isolated instances of severe weather and heavy rain across parts of the region. A total of 6 weak tornadoes occurred.,Water rescues were needed near Cottonwood Dr and Belt Line Dr in Dallas. The Hunt Branch of Cottonwood Creek crosses this intersection.,CSV
34567,158880,961224,TEXAS,2021,May,Flash Flood,5/16/21 17:30,30.00K,0.00K,Emergency Manager,Heavy Rain,NNE,RICHARDSON,1,RICHARDSON,32.9688,-96.7091,32.9652,-96.7086,Mid-May thunderstorms associated with an upper low to our west and multiple  disturbances out ahead of it produced isolated instances of severe weather and heavy rain across parts of the region. A total of 6 weak tornadoes occurred.,Water rescues were needed near Glenville Drive between East Collins Dr and Commerce Drive in Richardson.,CSV
34568,158880,961225,TEXAS,2021,May,Flash Flood,5/16/21 17:30,30.00K,0.00K,Emergency Manager,Heavy Rain,SSE,RENNER,1,RENNER,32.9817,-96.7186,32.9819,-96.7227,Mid-May thunderstorms associated with an upper low to our west and multiple  disturbances out ahead of it produced isolated instances of severe weather and heavy rain across parts of the region. A total of 6 weak tornadoes occurred.,Water rescues were needed near Fall Creek Drive and Prairie Creek Drive. Prairie Creek runs by this location.,CSV
34569,158880,961231,TEXAS,2021,May,Flash Flood,5/16/21 20:53,10.00K,0.00K,Fire Department/Rescue,Heavy Rain,E,CURTIS,1,CURTIS,32.88,-96.75,32.8821,-96.7475,Mid-May thunderstorms associated with an upper low to our west and multiple  disturbances out ahead of it produced isolated instances of severe weather and heavy rain across parts of the region. A total of 6 weak tornadoes occurred.,Dallas fire responded to a swift water rescue call on Merriman Pkwy near White Rock Creek. A Flood Warning was in effect for the creek due to rapid rises from heavy rainfall.,CSV
34572,161367,974449,LOUISIANA,2021,July,Flash Flood,7/20/21 1:19,30.00K,0.00K,Law Enforcement,Heavy Rain,SE,CHINCHUBA,1,CHINCHUBA,30.39,-90.07,30.3864,-90.0623,"In the morning hours on July 20th, 2021, slow moving thunderstorms developed overnight ,one specific cluster formed over the Northshore that led to significant flooding, with areas of flooding elsewhere from developing clusters of thunderstorms through the morning hours. These storms formed within a rich Gulf, unstable airmass out ahead of an approaching outflow boundary and slow moving cold front from the west.",Water entering several homes. many roads impassable and barricaded.,CSV
34573,161367,974450,LOUISIANA,2021,July,Flash Flood,7/20/21 2:15,50.00K,0.00K,Public,Heavy Rain,N,CHINCHUBA,1,CHINCHUBA,30.4,-90.08,30.3988,-90.0659,"In the morning hours on July 20th, 2021, slow moving thunderstorms developed overnight ,one specific cluster formed over the Northshore that led to significant flooding, with areas of flooding elsewhere from developing clusters of thunderstorms through the morning hours. These storms formed within a rich Gulf, unstable airmass out ahead of an approaching outflow boundary and slow moving cold front from the west.",A social media video showed at least a dozen flooded cars in an apartment complex in Mandeville.,CSV
34824,161367,974454,LOUISIANA,2021,July,Flash Flood,7/20/21 5:50,20.00K,0.00K,Public,Heavy Rain,NNW,COVINGTON,1,COVINGTON,30.5,-90.11,30.4983,-90.1128,"In the morning hours on July 20th, 2021, slow moving thunderstorms developed overnight ,one specific cluster formed over the Northshore that led to significant flooding, with areas of flooding elsewhere from developing clusters of thunderstorms through the morning hours. These storms formed within a rich Gulf, unstable airmass out ahead of an approaching outflow boundary and slow moving cold front from the west.",Public reports ankle deep water entering their apartment.,CSV
34826,161367,974456,LOUISIANA,2021,July,Flash Flood,7/20/21 6:46,25.00K,0.00K,Broadcast Media,Heavy Rain,E,HOULTONVILLE,1,HOULTONVILLE,30.4,-90.16,30.4,-90.1569,"In the morning hours on July 20th, 2021, slow moving thunderstorms developed overnight ,one specific cluster formed over the Northshore that led to significant flooding, with areas of flooding elsewhere from developing clusters of thunderstorms through the morning hours. These storms formed within a rich Gulf, unstable airmass out ahead of an approaching outflow boundary and slow moving cold front from the west.",Social media picture showing water entering gas station.,CSV
35079,161367,974460,LOUISIANA,2021,July,Flash Flood,7/20/21 9:07,45.00K,0.00K,Fire Department/Rescue,Heavy Rain,E,MANDEVILLE,2,MANDEVILLE,30.3617,-90.0635,30.3611,-90.0619,"In the morning hours on July 20th, 2021, slow moving thunderstorms developed overnight ,one specific cluster formed over the Northshore that led to significant flooding, with areas of flooding elsewhere from developing clusters of thunderstorms through the morning hours. These storms formed within a rich Gulf, unstable airmass out ahead of an approaching outflow boundary and slow moving cold front from the west.",Vehicles are pushing flooding water into buildings on street including the fire station.,CSV
35210,159857,966131,SOUTH CAROLINA,2021,July,Flash Flood,7/28/21 12:30,100.00K,0.00K,Emergency Manager,Heavy Rain,E,STOKES,5,HENDERSONVILLE,32.9759,-80.6622,32.8468,-80.7165,"An area of heavy rainfall producing thunderstorms developed before sunrise across portions of southeast South Carolina. These thunderstorms developed near the center of a weak area of low pressure that slowly moved eastward through mid morning. As the thunderstorms trained across portions of central Colleton County, intense rainfall occurred with radar rainfall estimates of 6 to 9 inches. Flash flooding occurred with portions of two roads washed out and damage to a nearby bridge.",Colleton County Emergency Management reported damage to three different roads in the county. The most significant flash flooding occurred near 2363 Hendersonville Highway (Highway 17-A) where a large portion of the roadway collapsed and washed out. The wash out occurred near a retention pond that possibly overflowed its banks and overwhelmed the drainage pipe under the roadway. A vehicle traveling northbound on Hendersonville Highway fell into the washout but the two travelers inside were uninjured. The second roadway washout occurred nearby on Great Swamp Road near Dover Bluff Lane. A third instance of damage due to flash flooding occurred northeast of Walterboro on Industrial Lane where it crosses Ireland Creek between Highway 15 and Thunderbolt Drive. A partial washout occurred surrounding the Industrial Lane bridge across Ireland Creek and the road was determined not to be safe for travel. Minor roadway flooding also occurred in Walterboro including Ivanhoe Road and Robertson Boulevard.,CSV
35327,161372,974468,LOUISIANA,2021,July,Flash Flood,7/27/21 18:25,75.00K,0.00K,Fire Department/Rescue,Heavy Rain,SE,NORTH BATON ROUGE,1,NORTH BATON ROUGE,30.51,-91.17,30.5045,-91.1676,"In the evening hours on July 27th, 2021, a disorganized cluster of showers and storms along a southward surging outflow boundary pushed heavy thunderstorms into portions of southern and southeastern Louisiana. Ample total atmospheric moisture content and instability led to intense rainfall rates ultimately causing areas of flash flooding.",High water entered several vehicles near Arline Highway and Scenic Hwy. Water rescues  were conducted.,CSV
35355,161745,976404,NEW YORK,2021,July,Flash Flood,7/8/21 17:52,50.00K,0.00K,911 Call Center,Heavy Rain,SSW,PT PLEASANT,1,PT PLEASANT,43.2128,-77.5584,43.2112,-77.5469,"Showers and thunderstorms developed during the afternoon along a west-to-east oriented frontal boundary along the south shore of Lake Ontario. Instability generated CAPE values of around 1500 J/kg along and just south of the frontal boundary. Bulk shear was ample enough to support organized and even rotating updrafts. The instability was surprising considering that it was cloudy all day, but with the storms that developed, it was apparently present.||Thunderstorms developed first over the Niagara Peninsula, which then tracked into the Buffalo area. A narrow velocity couplet developed over Kenmore and Tonawanda, tracking east over Williamsville and then to Harris Hill. This feature went over the northside of the radar and made it difficult to see as it passed to our north. Another velocity signature in northeastern Erie county indicated possible rotation as well. The storms got weaker as they got into eastern Genesee County, however a ball of wind continued to track east with them. ||Another line of storms formed from Oswego to Onondaga counties. This line of storms expanded in coverage and severity while a north-south line of storms approached from Lake Ontario. These two lines merged over northern Oswego and southwest Jefferson counties, as velocity values increased near Sackets Harbor, where several trees were reported down.",Flooding was reported on Route 104 and 590. Deep water was reported on Titus Ave and Ridge Drive. Several water rescues were performed.,CSV
35418,158855,960291,SOUTH CAROLINA,2021,July,Flash Flood,7/16/21 17:15,0.01K,0.01K,Fire Department/Rescue,Heavy Rain,ESE,EAU CLAIRE,1,COLUMBIA,34.04,-81.01,33.99,-81.03,Scattered severe thunderstorms developed in a high moisture environment during the afternoon.,Columbia Richland Fire Rescue communications reported several flooded roadways. A flooded roadway and a stalled vehicle due to flooding was reported at the intersection of Key Rd and Market St. A vehicle was reported stalled due to flooding on Bluff Rd. The intersection of Amherst Ave. and Wheat St. was reported flooded with a stalled vehicle.  The 3000 Block of Hammond Ave. was reported flooded with a stalled vehicle and water up to the doors.  The USGS stream gauge on Rocky Branch Creek at Main St. and Whaley St. crested at 10.73 ft. Flood Stage is 7.3 ft. Storm Total Rainfall was 2.17 inches.,CSV
35502,159663,965588,MAINE,2021,June,Flash Flood,6/9/21 7:00,615.00K,0.00K,Emergency Manager,Heavy Rain,SSW,GOULDSBORO,5,COREA,44.4512,-68.0436,44.4635,-67.9238,Slow moving training thunderstorms developed across the Downeast coast during the early morning hours of the 9th along a cold front. The thunderstorms produced very heavy rainfall and flash flooding along portions of the Downeast coast. Rainfall totals of 2.00 to 4.00 inches were common...with local totals in excess of 5.00 inches. The resultant flash flooding damaged many roads...culverts and bridges to varying extents. Road closures were common with large portions of several roads entirely washed out or heavily damaged.  The road damage was particularly extensive in the towns of Machias...Winter Harbor and Prospect Harbor. Some residents were isolated due to washed out roads.,Rainfall totals generally ranged from 2.00 to 4.00 inches...with local totals in excess of 5.00 inches. The heavy rains produced flash flooding. Numerous roads were closed or damaged to varying extents due to washouts. Damage to bridges and culverts also occurred. Extensive road damage occurred in the vicinity of Winter Harbor and across the Schoodic Peninsula. Main Street in Winter Harbor was flooded with water up to the entrances of some businesses. Washouts and road closures were reported on Birch Harbor Road...Summer Harbor Road. Due to road damage...there was no access to portions of Acadia National Park on the Schoodic Peninsula. Near Prospect Harbor...both Route 186 and Pond Road were closed due to flooding and washouts.,CSV
35548,158679,961352,TEXAS,2021,May,Flash Flood,5/28/21 17:00,20.00K,0.00K,Trained Spotter,Heavy Rain,W,HEWITT,3,WOODWAY,31.47,-97.21,31.5062,-97.2413,"With the help of an overnight storm complex in Oklahoma, a cold front was able to sag south and become stationary across the forecast area on Friday May 28. The front provided a focus for additional showers and storms, a few of which were either severe or produced heavy rain. The notable events from this episode was a large swath of damaging winds across part of Wise County and flooding in McLennan County.","Flash flooding was reported with some cars stranded in high water around locations generally south to southwest of Waco. High water was reported at Gateway Blvd and Bagby Ave south of Waco, and flooding was also reported around Midway High School in Hewitt.",CSV
35569,158880,961419,TEXAS,2021,May,Flash Flood,5/16/21 23:00,3.00K,0.00K,Emergency Manager,Heavy Rain,NW,ROWLETT,2,ROWLETT,32.9231,-96.5892,32.9221,-96.5897,Mid-May thunderstorms associated with an upper low to our west and multiple  disturbances out ahead of it produced isolated instances of severe weather and heavy rain across parts of the region. A total of 6 weak tornadoes occurred.,A person was rescued from their car after it got stuck in approximately 3 feet of water on Castle Drive near the Garland/Rowlett city border. A Flood Warning was in effect for the nearby Rowlett Creek due to rapid rises from heavy rainfall.,CSV
35570,158680,960651,TEXAS,2021,May,Flash Flood,5/24/21 17:30,300.00K,0.00K,County Official,Heavy Rain,WSW,LAKE WEATHERFORD,4,WEATHERFORD,32.7682,-97.7345,32.7103,-97.7883,"A slow-moving upper low produced widespread showers and thunderstorms across the region, some of which contained heavy rain resulting in a few instances of flooding.","High water was reported in the County Sheriff's Parking lot with the water depth up to the bumpers of vehicles. Water also entered the building at a depth of 1-2 inches. In addition, the public reported several instances of flooding in and around Weatherford.",CSV
35606,161487,975293,COLORADO,2021,July,Flash Flood,7/31/21 17:00,10.00K,0.00K,Emergency Manager,Heavy Rain / Burn Area,ENE,JAMESTOWN,5,JAMESTOWN,40.13,-105.35,40.12,-105.28,Heavy rain in the Calwood burn areas caused flash flooding from Geer Canyon Drive to CO 36.,Localized flash flooding reported from Geer Canyon to Left Hand Canyon to CO36.,CSV
35607,161487,975295,COLORADO,2021,July,Flash Flood,7/31/21 15:15,10.00K,0.00K,Emergency Manager,Heavy Rain / Burn Area,W,RUSTIC,6,RUSTIC,40.7,-105.68,40.69,-105.69,Heavy rain in the Calwood burn areas caused flash flooding from Geer Canyon Drive to CO 36.,Heavy rain produced localized flash flooding in the Black Hollow area.  The flooding hampered ongoing recovery work in the area.,CSV
35608,161487,975297,COLORADO,2021,July,Flash Flood,7/31/21 14:45,10.00K,0.00K,Emergency Manager,Heavy Rain / Burn Area,SW,POUDRE PARK,6,GLEN HAVEN,40.59,-105.44,40.54,-105.44,Heavy rain in the Calwood burn areas caused flash flooding from Geer Canyon Drive to CO 36.,A culvert was washed out along Sheep Creek making road 44H impassable.,CSV
35609,161487,975299,COLORADO,2021,July,Flash Flood,7/31/21 14:45,10.00K,0.00K,Emergency Manager,Heavy Rain / Burn Area,NW,GLEN HAVEN,0,GLEN HAVEN,40.5,-105.49,40.45,-105.43,Heavy rain in the Calwood burn areas caused flash flooding from Geer Canyon Drive to CO 36.,Flash flooding occurred near The Retreat.  Streamside and Black Creek Roads were impassable due to the flash flooding.,CSV
